"row.names","cost","count","type"
"569",141.39,2,"OP"
"570",164.38,7,"OP"
"571",179.01,1,"OP"
"572",345.47,7,"OP"
"573",135.79,2,"OP"
"574",91.76,1427,"OP"
"575",219.11,492,"OP"
"576",191.39,349,"OP"
"577",123,36802,"OP"
"578",186.95,14394,"OP"
"579",70.81,11207,"OP"
"580",131.34,26,"OP"
"581",67.58,694,"OP"
"582",74.56,156,"OP"
"583",129.13,301,"OP"
"584",341.48,1,"OP"
"585",143.08,47,"OP"
"586",121.32,13,"OP"
"587",293.29,7,"OP"
"588",518.73,66,"OP"
"589",2141,19,"OP"
"590",363.92,3,"OP"
"591",198.66,6,"OP"
"592",153.46,1,"OP"
"593",211.26,26286,"OP"
"594",364.6,1406,"OP"
"595",587.34,642,"OP"
"596",147.99,5277,"OP"
"597",214,100739,"OP"
"598",324,2067,"OP"
"599",179.94,78,"OP"
"600",569,63,"OP"
"601",134.72,1,"OP"
"602",207.19,88,"OP"
"603",77.29,9,"OP"
"604",155.31,34,"OP"
"605",235.26,24,"OP"
"606",211.92,7,"OP"
"607",129.96,17,"OP"
"608",129.07,2171,"OP"
"609",373.6,54187,"OP"
"610",201.44,19980,"OP"
"611",86.24,130,"OP"
"612",52.68,10861,"OP"
"613",91.34,24,"OP"
"614",226.85,14157,"OP"
"615",145.59,275,"OP"
"616",106.48,114,"OP"
"617",284.65,172,"OP"
"618",54.11,6137,"OP"
"619",521.49,13,"OP"
"620",87.18,12453,"OP"
"621",296.74,219,"OP"
"622",110.39,434,"OP"
"623",50.71,4178,"OP"
"624",105.64,2202,"OP"
"625",76.24,315,"OP"
"626",307.38,218,"OP"
"627",161.88,61,"OP"
"628",129.7,8679,"OP"
"629",204.9,16,"OP"
"630",212.28,237,"OP"
"631",239.36,118,"OP"
"632",222.62,2,"OP"
"633",247.97,3685,"OP"
"634",105.15,29,"OP"
"635",294.06,414,"OP"
"636",296.58,53,"OP"
"637",810.05,25,"OP"
"638",585.74,279,"OP"
"639",262.16,35,"OP"
"640",215.92,8428,"OP"
"641",89.19,4183,"OP"
"642",150.64,14,"OP"
"643",135.43,234,"OP"
"644",134.15,5,"OP"
"645",232.41,9,"OP"
"646",134.75,2,"OP"
"647",70.93,33870,"OP"
"648",150.78,226,"OP"
"649",162.31,198,"OP"
"650",74.12,50,"OP"
"651",86.87,924,"OP"
"652",809,34,"OP"
"653",262.34,8,"OP"
"654",170.83,19,"OP"
"655",214.2,46,"OP"
"656",53.01,2,"OP"
"657",213.34,1,"OP"
"658",163.69,653,"OP"
"659",230.85,37,"OP"
"660",146.96,3877,"OP"
"661",385.37,667,"OP"
"662",83.24,32714,"OP"
"663",1228,17,"OP"
"664",485.89,455,"OP"
"665",177.1,17,"OP"
"666",307.66,3027,"OP"
"667",196.21,14422,"OP"
"668",95.28,563,"OP"
"669",109.57,3,"OP"
"670",474.6,18,"OP"
"671",125.21,15,"OP"
"672",105.95,1186,"OP"
"673",353.92,16,"OP"
"674",62.59,46874,"OP"
"675",146.28,18,"OP"
"676",46,1351,"OP"
"677",366.55,12,"OP"
"678",100.51,6,"OP"
"679",156.38,14,"OP"
"680",132.47,8059,"OP"
"681",126.21,6321,"OP"
"682",109.71,42,"OP"
"683",148.82,16,"OP"
"684",85.55,1425,"OP"
"685",102.32,26,"OP"
"686",221.58,31,"OP"
"687",246.23,16,"OP"
"688",99.01,5481,"OP"
"689",64.46,63,"OP"
"690",129.36,62,"OP"
"691",169.16,9,"OP"
"692",120.3,10,"OP"
"693",105.94,367,"OP"
"694",209.06,2,"OP"
"695",191.28,432,"OP"
"696",60.87,10900,"OP"
"697",58.41,62908,"OP"
"698",58.32,13,"OP"
"699",93.68,187,"OP"
"700",518.72,223,"OP"
"701",168.84,1442,"OP"
"702",83.98,68,"OP"
